,video_id,title,views,likes,comments,publishedAt,playlist_name
38,mIhI23gBBPQ,Mariah Carey - My All (Official HD Video),234342174,1189005,36552,2009-11-24T06:23:23Z,Late 90s Early 2000s Pop Hits Playlist
39,a-Lp2uC_1lg,Shania Twain - From This Moment On,318070233,1291957,44999,2009-10-07T22:10:08Z,Late 90s Early 2000s Pop Hits Playlist
40,ulOb9gIGGd0,Westlife - My Love (Official Video),345931547,1832925,85710,2009-10-03T19:49:10Z,Late 90s Early 2000s Pop Hits Playlist
41,v895UsLmfnI,Paul Damixie - Secrets | Official Music Video,11214903,15984,126,2023-04-25T14:00:43Z,Late 90s Early 2000s Pop Hits Playlist
42,zsfj9j0kjoU,Whitney Houston with Enrique Iglesias - Could I Have This Kiss Forever (Official HD Video),168391047,670119,18843,2014-03-16T22:48:40Z,Late 90s Early 2000s Pop Hits Playlist
43,kIDWgqDBNXA,Christina Aguilera - Genie In A Bottle (Official Video),240472717,1257371,51788,2009-10-03T04:37:42Z,Late 90s Early 2000s Pop Hits Playlist
44,GZXHBgjQjNM,Backstreet Boys - Drowning (Official HD Video),214485303,751493,34938,2011-04-06T07:23:38Z,Late 90s Early 2000s Pop Hits Playlist
45,7NrQei36fJk,Westlife - If I Let You Go (Official Video),229576276,686840,28736,2009-10-03T19:58:56Z,Late 90s Early 2000s Pop Hits Playlist
46,jjnmICxvoVY,Savage Garden - I Knew I Loved You (Official Video),232039843,1093903,42001,2009-10-25T08:41:39Z,Late 90s Early 2000s Pop Hits Playlist
47,OpiuFITNzEs,Smiley - Walking To The Moon | Official Visualizer,438420,1176,60,2023-12-14T14:00:24Z,Late 90s Early 2000s Pop Hits Playlist
48,rnztMhtUF6o,Josh Groban - You Raise Me Up [Official Music Video],15229750,95167,4294,2010-02-14T17:20:10Z,Late 90s Early 2000s Pop Hits Playlist
49,MY4YJxn-9Og,Marc Anthony - You Sang To Me (Video),196874271,641454,24090,2009-10-03T21:00:26Z,Late 90s Early 2000s Pop Hits Playlist
50,ZnOAK04tJhc,Westlife - I Lay My Love on You (Official Video),152757333,565387,23215,2009-10-03T19:47:54Z,Late 90s Early 2000s Pop Hits Playlist
51,aBt8fN7mJNg,Backstreet Boys - Show Me The Meaning Of Being Lonely,286736152,1538392,58167,2011-05-25T16:12:54Z,Late 90s Early 2000s Pop Hits Playlist
52,GQMlWwIXg3M,*NSYNC - It's Gonna Be Me (Official Video),195984603,879372,47819,2009-10-25T07:06:38Z,Late 90s Early 2000s Pop Hits Playlist
53,7Aedpp3dzYA,Smiley - Tomorrow | Official Visualizer,847990,2461,161,2023-11-16T15:00:09Z,Late 90s Early 2000s Pop Hits Playlist
54,DL7-CKirWZE,New Radicals - You Get What You Give (Official Music Video),165348084,1073010,52699,2009-10-08T11:28:47Z,Late 90s Early 2000s Pop Hits Playlist
55,dGR65RWwzg8,Avril Lavigne - I'm With You (Official Video),263254253,1711701,67723,2010-03-10T09:52:47Z,Late 90s Early 2000s Pop Hits Playlist
56,h9rCobRl-ng,Whitney Houston - Run To You (Official HD Video),225595650,840313,37550,2009-11-14T14:26:39Z,Late 90s Early 2000s Pop Hits Playlist
57,Q4VK9_CfOLQ,Britney Spears - (You Drive Me) Crazy (Official HD Video),199465794,710574,35166,2009-10-25T07:09:01Z,Late 90s Early 2000s Pop Hits Playlist
